
2024-11-13,4,4,asdf
2024-11-13,9,5,way bro
2024-11-22,22,13,okay this is literally crazy tho
2024-12-20,1,2,there is no one here
2024-11-06,4,4,no
2024-11-23,23,16,nope
2024-11-23,12,11,we have a decent number of patients here
2025-01-01,5,4,asdnasdfal wef awlef 
2025-02-14,2,15,
2025-04-24,14,2,Commodo dolore mollit eu. Dolore deserunt cillum est fugiat et ipsum id labore do adipisicing minim culpa adipisicing et ipsum. Lorem fugiat eiusmod sit est sunt anim eiusmod irure anim reprehenderit irure nulla. Et anim voluptate cupidatat incididunt. Sunt adipisicing nostrud commodo labore anim consectetur dolor nisi commodo et incididunt excepteur est. Excepteur esse cupidatat ipsum magna Lorem dolore nostrud ullamco. Velit elit elit exercitation laborum laboris adipisicing veniam dolore dolore. Veniam Lorem eu quis excepteur esse.
2024-11-13,3,22,this is max number of patients
2024-11-13,4,3,
2024-11-13,14,4,
2024-11-15,2,21,i can't believe there are this many people so early in the morning!
